place_id,slot,date,time,rater,weather,temp_f,lux,kelvin,db_mean,db_peak,db_variability,seats_total,seats_occupied,people_visible,enclosure,complexity,greenery,daylight,seat_comfort,privacy,talk_ok,thermal,outlets,wifi,food_drink,restroom,table_surface,back_to_wall,photo_wide,photo_pov,photo_light,notes
p31,B_wkdy_midday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p31,C_wkdy_afternoon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p31,D_wkdy_evening,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p31,E_wkend_midday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p32,A_wkdy_morning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p32,B_wkdy_midday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p32,C_wkdy_afternoon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p32,D_wkdy_evening,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p32,E_wkend_midday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p33,A_wkdy_morning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p33,B_wkdy_midday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p33,C_wkdy_afternoon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p33,D_wkdy_evening,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p33,E_wkend_midday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p34,A_wkdy_morning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p34,B_wkdy_midday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p34,C_wkdy_afternoon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p34,D_wkdy_evening,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p34,E_wkend_midday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p35,A_wkdy_morning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p35,B_wkdy_midday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p35,C_wkdy_afternoon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p35,D_wkdy_evening,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p35,E_wkend_midday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p36,A_wkdy_morning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p36,B_wkdy_midday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p36,C_wkdy_afternoon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p36,D_wkdy_evening,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p36,E_wkend_midday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p37,A_wkdy_morning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
